ชื่อเครื่องมือ,Serial No.,"
Old_Code
",User,Project/Location,Status,วันที่เครื่องมือถูกเบิก,วันครบกำหนดส่งคืน,จำนวนวันที่เบิกไปแล้ว,สถานะการใช้งาน,สถานะการตรวจสอบ/ซ่อม,สถานะ (พร้อมใช้งาน ≥30 วัน)
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0032,S/N FD060923188,,Canopy by Hilton ฺBangkok Sukhumvit (CBH SKV12),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดพื้น,E.MJ.CON.010.021.003.0033,S/N FD150923297,,Bloom Mental Wellness Hospital (BMWH),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดหน้าคอนกรีตแบบเครื่องยนต์,E.MJ.CON.010.021.005.0001,S/N 0001,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดหน้าคอนกรีตแบบเครื่องยนต์,E.MJ.CON.010.021.005.0002,E.MJ.CON.010.021.005.0002,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดผนัง,E.MJ.CON.010.021.006.0006,S/N 24117801016,,Sukhumvit 29 Hotel (HT-SKV29),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดผนัง,E.MJ.CON.010.021.006.0007,S/N 24117801282,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดผนัง,E.MJ.CON.010.021.006.0008,S/N 24117801283,,Sukhumvit 29 Hotel (HT-SKV29),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดผนัง,E.MJ.CON.010.021.006.001,E.MJ.CON.010.021.006.001,,Artale Asoke Rama9,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดผนัง,E.MJ.CON.010.021.006.002,E.MJ.CON.010.021.006.002,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดผนัง,E.MJ.CON.010.021.006.003,E.MJ.CON.010.021.006.003,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดผนัง,E.MJ.CON.010.021.006.004,S/N 24117801202,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
เครื่องขัดผนัง,E.MJ.CON.010.021.006.005,S/N 24117801270,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
รถโฟล์คลิฟท์ ขนาด 2.0 ตัน,E.MJ.CON.010.030.001.0002,TTS211020008,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
รถโฟล์คลิฟท์ ขนาด 2.5 ตัน,E.MJ.CON.010.030.002.0003,TTS211020010,,Prannok-Tadmai (DH2),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
รถโฟล์คลิฟท์ ขนาด 2.5 ตัน,E.MJ.CON.010.030.002.0005,TTS211020014,,Baan Sansiri Bangna,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
รถโฟล์คลิฟท์ ขนาด 2.5 ตัน,E.MJ.CON.010.030.002.0006,TTS211020015,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,29/7/2025,,,,,
รถโฟล์คลิฟท์ ขนาด 2.5 ตัน,E.MJ.CON.010.030.002.0007,TTS211020016,,Image 49,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
รถโฟล์คลิฟท์ ขนาด 2.5 ตัน,E.MJ.CON.010.030.002.0008,TTS211020017,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
รถโฟล์คลิฟท์ ขนาด 2.5 ตัน,E.MJ.CON.010.030.002.0009,TTS211020018,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,29/7/2025,,,,,
รถโฟล์คลิฟท์ ขนาด 2.5 ตัน,E.MJ.CON.010.030.002.0012,TTS211020013,,คลังสินค้าราม 2,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
รถโฟล์คลิฟท์ ขนาด 3.0 ตัน,E.MJ.CON.010.030.003.0001,TTS211020019,,คลังสินค้าบางบ่อ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
รถโฟล์คลิฟท์ ขนาด 3.0 ตัน,E.MJ.CON.010.030.003.0002,TTS211020020,101762 วริศรา อินง้อง,คลังสินค้าและบริการ,ใช้งานอยู่,29/7/2025,28/8/2025,73,เกินกำหนด 43 วัน,,
รถดั้มเปอร์(รถอีแต๋น),E.MJ.CON.010.030.006.0001,E.MJ.CON.010.030.006.0001,,Baan Sansiri Bangna,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
รถดั้มเปอร์(รถอีแต๋น),E.MJ.CON.010.030.006.0002,E.MJ.CON.010.030.006.0002,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,29/7/2025,,,,,
รถดั้มเปอร์(รถอีแต๋น),E.MJ.CON.010.030.006.0003,S/N 0003,,Prannok-Tadmai (DH2),พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
รถดั้มเปอร์(รถอีแต๋น),E.MJ.CON.010.030.006.0004,S/N 0004,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
รอกโซ่ไฟฟ้า ขนาด 2 ตัน,E.MJ.CON.010.031.001.0001,A.53.01.001.0001,,คลังสินค้าและบริการ,พร้อมใช้งาน,29/7/2025,,,,,ไม่มีใครใช้
รอกโซ่ไฟฟ้า ขนาด 2 ตัน,E.MJ.CON.010.031.001.0002,A.53.01.001.0002,,คลังสินค้าและบริการ,พร้อมใช้งาน,11/8/2025,,,,,ไม่มีใครใช้
รอกโซ่ไฟฟ้า ขนาด 2 ตัน,E.MJ.CON.010.031.001.0003,A.53.01.001.0003,,คลังสินค้าและบริการ,พร้อมใช้งาน,11/8/2025,,,,,ไม่มีใครใช้
รอกโซ่ไฟฟ้า ขนาด 3 ตัน,E.MJ.CON.010.031.002.0001,A.53.01.002.0001,100051 ประยุทธ สมมุติ,คลังสินค้าและบริการ,ใช้งานอยู่,11/8/2025,29/8/2025,60,เกินกำหนด 42 วัน,,
รอกโซ่ไฟฟ้า ขนาด 3 ตัน,E.MJ.CON.010.031.002.0002,A.53.01.002.0002,100051 ประยุทธ สมมุติ,คลังสินค้าและบริการ,ใช้งานอยู่,11/8/2025,28/8/2025,60,เกินกำหนด 43 วัน,,
